"TOA5","Cntrl17","CR1000","33292","CR1000.Std.19","CPU:Cntrlsensors.CR1","52581","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","SoilTemp_Avg(3)","SoilTemp_Avg(4)","SoilTemp_Avg(5)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2001-08-11 09:30:00",19779,0.08,0.085,0.157,7.262,7.017,6.929,8.93,10.7,13.55,10.74
"2001-08-11 09:45:00",19780,0.08,0.085,0.157,7.479,7.221,7.22,8.91,10.67,13.56,12.58
"2001-08-11 10:00:00",19781,0.08,0.085,0.157,7.707,7.466,7.607,8.9,10.65,13.55,14.13
"2001-08-11 10:15:00",19782,0.08,0.085,0.157,7.954,7.766,8.06,8.9,10.63,13.55,15.17
"2001-08-11 10:30:00",19783,0.08,0.085,0.157,8.21,8.1,8.51,8.91,10.61,13.56,15.68
"2001-08-11 10:45:00",19784,0.08,0.085,0.157,8.45,8.43,8.86,8.93,10.59,13.55,16.02
"2001-08-11 11:00:00",19785,0.08,0.085,0.157,8.69,8.75,9.13,8.95,10.57,13.55,16.36
"2001-08-11 11:15:00",19786,0.08,0.085,0.157,8.94,9.1,9.36,8.99,10.55,13.56,16.66
"2001-08-11 11:30:00",19787,0.08,0.085,0.157,9.22,9.5,9.62,9.04,10.54,13.56,16.69
"2001-08-11 11:45:00",19788,0.08,0.085,0.157,9.45,9.82,9.87,9.1,10.53,13.56,16.81
"2001-08-11 12:00:00",19789,0.08,0.085,0.157,9.69,10.09,10.16,9.17,10.51,13.56,16.96
"2001-08-11 12:15:00",19790,0.08,0.085,0.157,9.91,10.34,10.48,9.24,10.5,13.56,17.16
"2001-08-11 12:30:00",19791,0.08,0.085,0.157,10.15,10.56,10.79,9.32,10.49,13.56,17.14
"2001-08-11 12:45:00",19792,0.08,0.085,0.157,10.34,10.74,11.03,9.41,10.49,13.56,16.94
"2001-08-11 13:00:00",19793,0.08,0.085,0.157,10.49,10.87,11.19,9.5,10.48,13.56,16.76
"2001-08-11 13:15:00",19794,0.08,0.085,0.157,10.67,10.99,11.36,9.59,10.48,13.56,16.79
"2001-08-11 13:30:00",19795,0.08,0.085,0.156,10.88,11.12,11.59,9.67,10.48,13.56,16.91
"2001-08-11 13:45:00",19796,0.08,0.085,0.156,11.08,11.26,11.86,9.76,10.48,13.56,17.09
"2001-08-11 14:00:00",19797,0.08,0.085,0.156,11.27,11.44,12.14,9.85,10.48,13.56,17.19
"2001-08-11 14:15:00",19798,0.08,0.085,0.156,11.41,11.63,12.35,9.93,10.49,13.56,17.24
"2001-08-11 14:30:00",19799,0.08,0.085,0.156,11.53,11.81,12.49,10.01,10.5,13.55,17.19
"2001-08-11 14:45:00",19800,0.08,0.085,0.156,11.62,11.98,12.58,10.1,10.51,13.55,17.14
"2001-08-11 15:00:00",19801,0.08,0.085,0.156,11.7,12.12,12.64,10.18,10.53,13.55,17.09
"2001-08-11 15:15:00",19802,0.08,0.084,0.156,11.76,12.21,12.68,10.27,10.54,13.55,16.71
"2001-08-11 15:30:00",19803,0.08,0.084,0.156,11.79,12.25,12.68,10.36,10.56,13.56,16.14
"2001-08-11 15:45:00",19804,0.08,0.084,0.156,11.79,12.24,12.65,10.44,10.57,13.56,15.92
"2001-08-11 16:00:00",19805,0.08,0.085,0.156,11.81,12.24,12.63,10.52,10.59,13.56,16.02
"2001-08-11 16:15:00",19806,0.08,0.085,0.156,11.85,12.25,12.63,10.59,10.61,13.56,15.77
"2001-08-11 16:30:00",19807,0.08,0.085,0.156,11.85,12.23,12.61,10.67,10.63,13.56,15.26
"2001-08-11 16:45:00",19808,0.079,0.085,0.156,11.83,12.19,12.56,10.74,10.66,13.55,14.52
"2001-08-11 17:00:00",19809,0.079,0.085,0.156,11.77,12.11,12.48,10.8,10.68,13.55,13.68
"2001-08-11 17:15:00",19810,0.079,0.085,0.156,11.69,12.01,12.38,10.86,10.71,13.56,12.91
"2001-08-11 17:30:00",19811,0.079,0.085,0.156,11.6,11.9,12.27,10.91,10.73,13.55,12.19
"2001-08-11 17:45:00",19812,0.079,0.085,0.156,11.5,11.79,12.15,10.95,10.76,13.55,11.59
"2001-08-11 18:00:00",19813,0.079,0.085,0.156,11.41,11.67,12.03,10.99,10.78,13.55,11.11
"2001-08-11 18:15:00",19814,0.079,0.085,0.156,11.32,11.56,11.92,11.01,10.81,13.56,10.74
"2001-08-11 18:30:00",19815,0.079,0.085,0.156,11.24,11.46,11.82,11.04,10.83,13.55,10.52
"2001-08-11 18:45:00",19816,0.079,0.085,0.156,11.18,11.38,11.72,11.05,10.86,13.55,10.31
"2001-08-11 19:00:00",19817,0.079,0.085,0.156,11.12,11.3,11.64,11.07,10.88,13.55,10.16
"2001-08-11 19:15:00",19818,0.079,0.085,0.156,11.06,11.23,11.56,11.08,10.91,13.55,10
"2001-08-11 19:30:00",19819,0.079,0.085,0.156,11,11.16,11.49,11.09,10.93,13.55,9.79
"2001-08-11 19:45:00",19820,0.079,0.085,0.156,10.94,11.08,11.41,11.09,10.95,13.55,9.48
"2001-08-11 20:00:00",19821,0.079,0.085,0.156,10.87,11,11.33,11.08,10.98,13.55,9.15
"2001-08-11 20:15:00",19822,0.079,0.085,0.156,10.78,10.91,11.23,11.08,10.99,13.56,8.72
"2001-08-11 20:30:00",19823,0.079,0.085,0.156,10.7,10.82,11.14,11.08,11.02,13.55,8.28
"2001-08-11 20:45:00",19824,0.079,0.085,0.156,10.61,10.72,11.04,11.08,11.04,13.55,7.839
"2001-08-11 21:00:00",19825,0.079,0.085,0.156,10.52,10.62,10.93,11.08,11.06,13.55,7.444
"2001-08-11 21:15:00",19826,0.079,0.085,0.156,10.42,10.51,10.81,11.06,11.07,13.55,7.114
"2001-08-11 21:30:00",19827,0.079,0.085,0.156,10.33,10.41,10.7,11.04,11.08,13.55,6.875
"2001-08-11 21:45:00",19828,0.079,0.085,0.156,10.24,10.32,10.58,11.03,11.1,13.55,6.701
"2001-08-11 22:00:00",19829,0.079,0.085,0.156,10.16,10.23,10.48,11.02,11.11,13.56,6.547
"2001-08-11 22:15:00",19830,0.079,0.085,0.156,10.08,10.13,10.37,10.99,11.12,13.56,6.351
"2001-08-11 22:30:00",19831,0.079,0.085,0.156,9.99,10.03,10.27,10.96,11.13,13.56,6.199
"2001-08-11 22:45:00",19832,0.079,0.085,0.156,9.91,9.94,10.17,10.94,11.14,13.56,6.048
"2001-08-11 23:00:00",19833,0.079,0.085,0.156,9.84,9.86,10.08,10.92,11.15,13.56,6.005
"2001-08-11 23:15:00",19834,0.079,0.085,0.156,9.78,9.8,10.01,10.89,11.16,13.56,5.896
"2001-08-11 23:30:00",19835,0.079,0.085,0.156,9.73,9.74,9.95,10.86,11.16,13.55,5.788
"2001-08-11 23:45:00",19836,0.079,0.085,0.156,9.66,9.67,9.88,10.84,11.17,13.55,5.743
"2001-08-12 00:00:00",19837,0.079,0.085,0.156,9.6,9.61,9.81,10.81,11.17,13.55,5.68
"2001-08-12 00:15:00",19838,0.079,0.085,0.156,9.54,9.54,9.73,10.78,11.18,13.55,5.614
