"TOA5","WTC01","CR1000","33590","CR1000.Std.19","CPU:WTCsensors_Ch1.CR1","47130","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2011-10-10 00:00:00",20485,0.043,0.046,0.036,16.8,17.29,17.64,17.85,16.81,15.93,17.88,17.94,13.47,10.9
"2011-10-10 00:15:00",20486,0.043,0.046,0.036,16.65,17.18,17.57,17.82,16.81,15.93,17.75,17.82,13.47,10.67
"2011-10-10 00:30:00",20487,0.043,0.046,0.036,16.52,17.02,17.51,17.78,16.82,15.93,17.62,17.71,13.47,10.49
"2011-10-10 00:45:00",20488,0.043,0.046,0.036,16.41,16.9,17.43,17.73,16.83,15.93,17.51,17.6,13.47,10.31
"2011-10-10 01:00:00",20489,0.043,0.046,0.036,16.31,16.8,17.37,17.71,16.84,15.95,17.39,17.5,13.47,10.2
"2011-10-10 01:15:00",20490,0.044,0.046,0.037,16,16.67,17.29,17.66,16.84,15.94,17.26,17.39,13.47,10.11
"2011-10-10 01:30:00",20491,0.044,0.046,0.037,15.66,16.44,17.23,17.63,16.84,15.95,17.04,17.27,13.47,10.11
"2011-10-10 01:45:00",20492,0.044,0.046,0.037,15.54,16.25,17.1,17.61,16.82,15.95,16.82,17.08,13.47,10.04
"2011-10-10 02:00:00",20493,0.044,0.046,0.037,15.43,16.09,16.99,17.55,16.83,15.96,16.66,16.93,13.47,9.93
"2011-10-10 02:15:00",20494,0.044,0.046,0.037,15.3,15.94,16.89,17.52,16.82,15.95,16.52,16.81,13.47,9.71
"2011-10-10 02:30:00",20495,0.044,0.046,0.037,15.18,15.82,16.79,17.49,16.82,15.96,16.39,16.69,13.47,9.5
"2011-10-10 02:45:00",20496,0.044,0.046,0.037,15.06,15.71,16.71,17.42,16.81,15.96,16.26,16.58,13.47,9.26
"2011-10-10 03:00:00",20497,0.044,0.046,0.037,14.91,15.59,16.64,17.39,16.81,15.96,16.12,16.46,13.47,9.1
"2011-10-10 03:15:00",20498,0.044,0.046,0.037,14.79,15.48,16.54,17.33,16.81,15.95,15.99,16.34,13.47,8.97
"2011-10-10 03:30:00",20499,0.044,0.046,0.037,14.66,15.37,16.44,17.27,16.8,15.96,15.87,16.24,13.47,8.9
"2011-10-10 03:45:00",20500,0.044,0.046,0.037,14.53,15.26,16.37,17.23,16.78,15.95,15.75,16.13,13.47,8.83
"2011-10-10 04:00:00",20501,0.044,0.046,0.037,14.42,15.16,16.27,17.16,16.77,15.95,15.63,16.03,13.47,8.72
"2011-10-10 04:15:00",20502,0.044,0.046,0.037,14.32,15.05,16.19,17.11,16.76,15.96,15.51,15.93,13.46,8.59
"2011-10-10 04:30:00",20503,0.044,0.046,0.037,14.22,14.93,16.11,17.06,16.73,15.96,15.4,15.83,13.47,8.46
"2011-10-10 04:45:00",20504,0.044,0.046,0.037,14.12,14.83,16.04,17.01,16.73,15.96,15.28,15.73,13.47,8.37
