TOA5	ROS_WS	CR3000	4909	CR3000.Std.11	CPU:weather_station_final.CR3	30238	Table15min						
TIMESTAMP	RECORD	Rain_mm_Tot	ASoilTemp_Avg	PTemp_C_Avg	VW_Avg	VW_2_Avg	VW_3_Avg	HalfBR_Avg(1)	HalfBR_Avg(2)	SoilTemp_Avg(1)	SoilTemp_Avg(2)	shf_mv_Avg	shf_Avg
TS	RN	mm	Deg C	Deg C				mV/mV	mV/mV	Deg C	Deg C	mV	W/m^2
		Tot	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg
10/10/2011 0:00	30480	0	8.58	8.62	0.188	0.173	0.226	NAN	NAN	NAN	NAN	0.08	1.296
10/10/2011 0:15	30481	0	8.46	8.38	0.188	0.173	0.226	NAN	NAN	NAN	NAN	0.085	1.372
10/10/2011 0:30	30482	0	8.45	8.13	0.188	0.173	0.226	NAN	NAN	NAN	NAN	0.085	1.373
10/10/2011 0:45	30483	0	8.36	7.91	0.188	0.173	0.226	NAN	NAN	NAN	NAN	0.08	1.302
10/10/2011 1:00	30484	0	8.01	7.737	0.188	0.173	0.226	NAN	NAN	NAN	NAN	0.063	1.017
10/10/2011 1:15	30485	0	8.18	7.644	0.188	0.173	0.226	NAN	NAN	NAN	NAN	0.054	0.884
10/10/2011 1:30	30486	0	7.744	7.615	0.188	0.173	0.226	NAN	NAN	NAN	NAN	0.053	0.856
10/10/2011 1:45	30487	0	7.515	7.493	0.187	0.173	0.226	NAN	NAN	NAN	NAN	0.037	0.593
10/10/2011 2:00	30488	0	8.18	7.302	0.187	0.173	0.226	NAN	NAN	NAN	NAN	0.029	0.478
10/10/2011 2:15	30489	0	6.746	7.142	0.187	0.173	0.226	NAN	NAN	NAN	NAN	0.04	0.643
10/10/2011 2:30	30490	0	6.557	6.899	0.187	0.173	0.226	NAN	NAN	NAN	NAN	0.058	0.939
10/10/2011 2:45	30491	0	6.372	6.651	0.187	0.172	0.226	NAN	NAN	NAN	NAN	0.066	1.075
10/10/2011 3:00	30492	0	6.661	6.402	0.187	0.172	0.226	NAN	NAN	NAN	NAN	0.057	0.921
10/10/2011 3:15	30493	0	7.015	6.213	0.187	0.172	0.226	NAN	NAN	NAN	NAN	0.019	0.304
10/10/2011 3:30	30494	0	6.64	6.175	0.187	0.172	0.225	NAN	NAN	NAN	NAN	0.027	0.433
10/10/2011 3:45	30495	0	6.51	6.132	0.187	0.172	0.225	NAN	NAN	NAN	NAN	0.03	0.493
10/10/2011 4:00	30496	0	6.596	6.051	0.187	0.172	0.225	NAN	NAN	NAN	NAN	0.019	0.313
10/10/2011 4:15	30497	0	5.852	5.952	0.187	0.172	0.225	NAN	NAN	NAN	NAN	0.034	0.557
10/10/2011 4:30	30498	0	5.538	5.772	0.187	0.172	0.225	NAN	NAN	NAN	NAN	0.05	0.819
10/10/2011 4:45	30499	0	6.204	5.536	0.186	0.172	0.225	NAN	NAN	NAN	NAN	0.032	0.519
10/10/2011 5:00	30500	0	5.938	5.44	0.186	0.172	0.225	NAN	NAN	NAN	NAN	0.033	0.536
10/10/2011 5:15	30501	0	5.603	5.469	0.186	0.172	0.225	NAN	NAN	NAN	NAN	0.032	0.513
10/10/2011 5:30	30502	0	6.354	5.508	0.186	0.171	0.225	NAN	NAN	NAN	NAN	0.006	0.102
10/10/2011 5:45	30503	0	6.56	5.673	0.186	0.171	0.225	NAN	NAN	NAN	NAN	-0.006	-0.099
10/10/2011 6:00	30504	0	7.663	5.938	0.186	0.171	0.225	NAN	NAN	NAN	NAN	-0.035	-0.564
10/10/2011 6:15	30505	0	8.24	6.389	0.186	0.171	0.225	NAN	NAN	NAN	NAN	-0.053	-0.862
10/10/2011 6:30	30506	0	8.78	6.959	0.186	0.171	0.225	NAN	NAN	NAN	NAN	-0.069	-1.116
10/10/2011 6:45	30507	0	9.55	7.547	0.186	0.171	0.225	NAN	NAN	NAN	NAN	-0.093	-1.506
10/10/2011 7:00	30508	0	10.4	8.15	0.186	0.171	0.225	NAN	NAN	NAN	NAN	-0.123	-2.002
10/10/2011 7:15	30509	0	11.03	8.79	0.186	0.171	0.224	NAN	NAN	NAN	NAN	-0.14	-2.267
10/10/2011 7:30	30510	0	11.34	9.36	0.186	0.171	0.224	NAN	NAN	NAN	NAN	-0.137	-2.216
10/10/2011 7:45	30511	0	12.71	9.8	0.186	0.171	0.224	NAN	NAN	NAN	NAN	-0.16	-2.598
10/10/2011 8:00	30512	0	14.78	10.42	0.186	0.171	0.224	NAN	NAN	NAN	NAN	-0.295	-4.782
