TOA5	ROS_WS	CR3000	4909	CR3000.Std.11	CPU:weather_station_final.CR3	30238	Table05min							
TIMESTAMP	RECORD	PPFD_Avg	AirTC_Avg	RH	WS_ms_Avg	WS_ms_Max	WindDir	NetSW_Avg	NetLW_Avg	NetRad_Avg	LWmV_Avg	LWMDry_Tot	LWMCon_Tot	LWMWet_Tot
TS	RN	mV	Deg C	%	meters/second	meters/second	degrees	W/m^2	W/m^2	W/m^2	mV	Minutes	Minutes	Minutes
		Avg	Avg	Smp	Avg	Max	Smp	Avg	Avg	Avg	Avg	Tot	Tot	Tot
13/10/2011 0:00	92305	0	14.74	78.93	1.205	1.533	42.14	-0.828	-13.15	-13.98	267.5	5	0	0
13/10/2011 0:05	92306	0	14.69	79.76	0.952	1.187	41.27	-1.139	-13.83	-14.97	268	5	0	0
13/10/2011 0:10	92307	0	14.59	80.4	1.048	1.213	36.99	-1.055	-13.99	-15.05	267.7	5	0	0
13/10/2011 0:15	92308	0	14.51	80.9	0.859	1.107	34.9	-0.998	-14.44	-15.44	267.7	5	0	0
13/10/2011 0:20	92309	0	14.46	81	1.059	1.213	34.5	-0.966	-14.64	-15.61	268.2	5	0	0
13/10/2011 0:25	92310	0	14.46	81	0.974	1.32	36.04	-0.931	-14.95	-15.88	267.6	5	0	0
13/10/2011 0:30	92311	0	14.44	81.2	1.115	1.453	36.09	-0.892	-15.31	-16.2	267.5	5	0	0
13/10/2011 0:35	92312	0	14.39	81.4	1.173	1.453	35.63	-0.945	-15.54	-16.49	267.6	5	0	0
13/10/2011 0:40	92313	0	14.33	82	1.104	1.4	34.89	-0.968	-15.68	-16.64	267.7	5	0	0
13/10/2011 0:45	92314	0	14.27	82.5	0.848	1	38.22	-1.042	-15.95	-16.99	267.7	5	0	0
13/10/2011 0:50	92315	0	14.19	83.2	1.101	1.346	43.66	-0.993	-15.9	-16.89	267.9	5	0	0
13/10/2011 0:55	92316	0	14.14	83.7	1.429	1.746	42.25	-0.899	-15.84	-16.74	267.9	5	0	0
13/10/2011 1:00	92317	0	14.08	84.2	1.304	1.4	47.55	-0.934	-15.99	-16.93	267.9	5	0	0
13/10/2011 1:05	92318	0	14.05	84.5	1.152	1.32	43.15	-0.989	-16.12	-17.11	268	5	0	0
13/10/2011 1:10	92319	0	14	84.8	0.774	0.947	42.54	-1.083	-16.23	-17.32	268.1	5	0	0
