TOA5	ROS_WS	CR3000	4909	CR3000.Std.11	CPU:weather_station_final.CR3	30238	Table15min						
TIMESTAMP	RECORD	Rain_mm_Tot	ASoilTemp_Avg	PTemp_C_Avg	VW_Avg	VW_2_Avg	VW_3_Avg	HalfBR_Avg(1)	HalfBR_Avg(2)	SoilTemp_Avg(1)	SoilTemp_Avg(2)	shf_mv_Avg	shf_Avg
TS	RN	mm	Deg C	Deg C				mV/mV	mV/mV	Deg C	Deg C	mV	W/m^2
		Tot	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg
13/10/2011 0:00	30768	0	14.21	14.34	0.167	0.154	0.214	NAN	NAN	NAN	NAN	0.014	0.229
13/10/2011 0:15	30769	0	14.04	14.34	0.167	0.154	0.214	NAN	NAN	NAN	NAN	0.011	0.186
13/10/2011 0:30	30770	0	14.03	14.31	0.167	0.154	0.214	NAN	NAN	NAN	NAN	0.01	0.162
13/10/2011 0:45	30771	0	13.85	14.26	0.167	0.154	0.214	NAN	NAN	NAN	NAN	0.01	0.162
13/10/2011 1:00	30772	0	13.67	14.19	0.167	0.154	0.214	NAN	NAN	NAN	NAN	0.011	0.171
13/10/2011 1:15	30773	0	13.54	14.09	0.167	0.154	0.214	NAN	NAN	NAN	NAN	0.012	0.194
13/10/2011 1:30	30774	0	13.52	13.99	0.167	0.154	0.214	NAN	NAN	NAN	NAN	0.012	0.203
13/10/2011 1:45	30775	0	13.54	13.89	0.167	0.154	0.214	NAN	NAN	NAN	NAN	0.013	0.215
13/10/2011 2:00	30776	0	13.43	13.82	0.167	0.154	0.214	NAN	NAN	NAN	NAN	0.014	0.22
13/10/2011 2:15	30777	0	13.29	13.75	0.167	0.154	0.213	NAN	NAN	NAN	NAN	0.014	0.234
13/10/2011 2:30	30778	0	13.45	13.69	0.167	0.154	0.213	NAN	NAN	NAN	NAN	0.016	0.252
13/10/2011 2:45	30779	0	13.33	13.66	0.167	0.154	0.213	NAN	NAN	NAN	NAN	0.013	0.208
13/10/2011 3:00	30780	0	13.3	13.62	0.167	0.154	0.213	NAN	NAN	NAN	NAN	0.01	0.168
13/10/2011 3:15	30781	0	13.32	13.6	0.167	0.154	0.213	NAN	NAN	NAN	NAN	0.01	0.158
13/10/2011 3:30	30782	0	13.46	13.59	0.166	0.154	0.213	NAN	NAN	NAN	NAN	0.009	0.153
13/10/2011 3:45	30783	0	13.47	13.6	0.166	0.154	0.213	NAN	NAN	NAN	NAN	0.006	0.093
13/10/2011 4:00	30784	0	13.51	13.61	0.166	0.154	0.213	NAN	NAN	NAN	NAN	0.004	0.058
13/10/2011 4:15	30785	0	13.33	13.6	0.166	0.154	0.213	NAN	NAN	NAN	NAN	0.004	0.072
13/10/2011 4:30	30786	0	13.16	13.55	0.166	0.153	0.213	NAN	NAN	NAN	NAN	0.006	0.095
13/10/2011 4:45	30787	0	12.95	13.44	0.166	0.153	0.213	NAN	NAN	NAN	NAN	0.005	0.088
13/10/2011 5:00	30788	0	12.41	13.2	0.166	0.153	0.213	NAN	NAN	NAN	NAN	0.014	0.232
13/10/2011 5:15	30789	0	12.18	12.93	0.166	0.153	0.213	NAN	NAN	NAN	NAN	0.031	0.498
13/10/2011 5:30	30790	0	12.01	12.66	0.166	0.153	0.213	NAN	NAN	NAN	NAN	0.018	0.293
13/10/2011 5:45	30791	0	12.41	12.41	0.166	0.153	0.213	NAN	NAN	NAN	NAN	0.015	0.236
13/10/2011 6:00	30792	0	12.84	12.33	0.166	0.153	0.213	NAN	NAN	NAN	NAN	0.02	0.327
13/10/2011 6:15	30793	0	13.37	12.44	0.166	0.153	0.213	NAN	NAN	NAN	NAN	0.005	0.088
13/10/2011 6:30	30794	0	13.87	12.67	0.166	0.153	0.213	NAN	NAN	NAN	NAN	-0.013	-0.21
13/10/2011 6:45	30795	0	14.47	13.04	0.166	0.153	0.213	NAN	NAN	NAN	NAN	-0.035	-0.565
13/10/2011 7:00	30796	0	14.99	13.52	0.166	0.153	0.213	NAN	NAN	NAN	NAN	-0.064	-1.046
13/10/2011 7:15	30797	0	15.28	14.12	0.166	0.153	0.213	NAN	NAN	NAN	NAN	-0.087	-1.413
13/10/2011 7:30	30798	0	15.49	14.72	0.166	0.153	0.213	NAN	NAN	NAN	NAN	-0.096	-1.552
13/10/2011 7:45	30799	0	15.86	15.26	0.166	0.153	0.213	NAN	NAN	NAN	NAN	-0.099	-1.615
13/10/2011 8:00	30800	0	16.17	15.76	0.166	0.153	0.213	NAN	NAN	NAN	NAN	-0.103	-1.668
