TOA5	ROS_WS	CR3000	4909	CR3000.Std.11	CPU:weather_station_final.CR3	30238	Table15min						
TIMESTAMP	RECORD	Rain_mm_Tot	ASoilTemp_Avg	PTemp_C_Avg	VW_Avg	VW_2_Avg	VW_3_Avg	HalfBR_Avg(1)	HalfBR_Avg(2)	SoilTemp_Avg(1)	SoilTemp_Avg(2)	shf_mv_Avg	shf_Avg
TS	RN	mm	Deg C	Deg C				mV/mV	mV/mV	Deg C	Deg C	mV	W/m^2
		Tot	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg
25/09/2011 21:45	29127	0	11.53	10.76	0.203	0.192	0.194	NAN	NAN	NAN	NAN	-0.003	-0.046
25/09/2011 22:00	29128	0	11.63	10.95	0.203	0.192	0.195	NAN	NAN	NAN	NAN	-0.012	-0.199
25/09/2011 22:15	29129	0	11.8	11.12	0.202	0.192	0.195	NAN	NAN	NAN	NAN	-0.024	-0.395
25/09/2011 22:30	29130	0	11.94	11.29	0.202	0.191	0.196	NAN	NAN	NAN	NAN	-0.036	-0.585
25/09/2011 22:45	29131	0	11.87	11.44	0.202	0.191	0.196	NAN	NAN	NAN	NAN	-0.034	-0.556
25/09/2011 23:00	29132	0	11.8	11.54	0.202	0.191	0.196	NAN	NAN	NAN	NAN	-0.026	-0.415
25/09/2011 23:15	29133	0	11.77	11.59	0.201	0.19	0.197	NAN	NAN	NAN	NAN	-0.018	-0.289
25/09/2011 23:30	29134	0	11.75	11.61	0.201	0.19	0.197	NAN	NAN	NAN	NAN	-0.013	-0.208
25/09/2011 23:45	29135	0	11.86	11.63	0.201	0.19	0.198	NAN	NAN	NAN	NAN	-0.015	-0.251
26/09/2011 0:00	29136	0	11.82	11.66	0.2	0.189	0.198	NAN	NAN	NAN	NAN	-0.016	-0.256
26/09/2011 0:15	29137	0	11.9	11.69	0.2	0.189	0.198	NAN	NAN	NAN	NAN	-0.016	-0.259
26/09/2011 0:30	29138	0	11.89	11.73	0.2	0.189	0.199	NAN	NAN	NAN	NAN	-0.016	-0.253
26/09/2011 0:45	29139	0	11.91	11.75	0.2	0.188	0.199	NAN	NAN	NAN	NAN	-0.012	-0.187
26/09/2011 1:00	29140	0	11.82	11.77	0.199	0.188	0.199	NAN	NAN	NAN	NAN	-0.006	-0.096
26/09/2011 1:15	29141	0	11.89	11.77	0.199	0.188	0.2	NAN	NAN	NAN	NAN	-0.002	-0.03
26/09/2011 1:30	29142	0	11.89	11.76	0.199	0.188	0.2	NAN	NAN	NAN	NAN	-0.004	-0.067
26/09/2011 1:45	29143	0	11.85	11.76	0.199	0.187	0.2	NAN	NAN	NAN	NAN	-0.001	-0.021
26/09/2011 2:00	29144	0	12.04	11.78	0.199	0.187	0.2	NAN	NAN	NAN	NAN	-0.014	-0.227
26/09/2011 2:15	29145	0	11.93	11.84	0.198	0.187	0.201	NAN	NAN	NAN	NAN	-0.01	-0.164
26/09/2011 2:30	29146	0	12	11.86	0.198	0.187	0.201	NAN	NAN	NAN	NAN	-0.007	-0.116
26/09/2011 2:45	29147	0	12.19	11.9	0.198	0.186	0.201	NAN	NAN	NAN	NAN	-0.019	-0.301
26/09/2011 3:00	29148	0	12.16	11.95	0.198	0.186	0.201	NAN	NAN	NAN	NAN	-0.001	-0.01
26/09/2011 3:15	29149	0	12.11	11.94	0.198	0.186	0.201	NAN	NAN	NAN	NAN	-0.003	-0.044
26/09/2011 3:30	29150	0	11.97	11.93	0.197	0.186	0.202	NAN	NAN	NAN	NAN	0.006	0.09
26/09/2011 3:45	29151	0	12.03	11.92	0.197	0.185	0.202	NAN	NAN	NAN	NAN	0	0.005
26/09/2011 4:00	29152	0	12.1	11.94	0.197	0.185	0.202	NAN	NAN	NAN	NAN	-0.007	-0.113
26/09/2011 4:15	29153	0	12.23	12	0.197	0.185	0.202	NAN	NAN	NAN	NAN	-0.003	-0.053
26/09/2011 4:30	29154	0.2	12.03	11.94	0.197	0.185	0.202	NAN	NAN	NAN	NAN	0.033	0.542
26/09/2011 4:45	29155	0	11.78	11.77	0.197	0.185	0.203	NAN	NAN	NAN	NAN	0.06	0.979
26/09/2011 5:00	29156	0	11.39	11.59	0.196	0.184	0.203	NAN	NAN	NAN	NAN	0.073	1.188
26/09/2011 5:15	29157	0.2	11.02	11.4	0.196	0.184	0.203	NAN	NAN	NAN	NAN	0.076	1.226
26/09/2011 5:30	29158	0	10.74	11.21	0.196	0.184	0.203	NAN	NAN	NAN	NAN	0.075	1.225
26/09/2011 5:45	29159	0.2	10.58	11.03	0.196	0.184	0.203	NAN	NAN	NAN	NAN	0.074	1.199
