"TOA5","WTC11","CR1000","33275","CR1000.Std.19","CPU:WTCsensors_Ch11.CR1","30773","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2011-08-11 09:30:00",19373,0.141,0.113,0.121,9.78,9.55,10.19,11.24,12.28,13.44,9.6,10.22,13.56,11.43
"2011-08-11 09:45:00",19374,0.141,0.113,0.121,10.11,9.74,10.23,11.23,12.25,13.43,9.81,10.41,13.55,12.53
"2011-08-11 10:00:00",19375,0.142,0.113,0.121,10.45,9.94,10.27,11.19,12.23,13.42,10.07,10.62,13.56,13.68
"2011-08-11 10:15:00",19376,0.142,0.113,0.121,10.77,10.15,10.34,11.18,12.23,13.43,10.36,10.87,13.55,14.54
"2011-08-11 10:30:00",19377,0.143,0.113,0.121,11.06,10.36,10.4,11.17,12.21,13.44,10.66,11.14,13.56,15.12
"2011-08-11 10:45:00",19378,0.143,0.113,0.121,11.28,10.57,10.49,11.18,12.17,13.42,10.99,11.41,13.56,15.65
"2011-08-11 11:00:00",19379,0.144,0.112,0.121,11.51,10.79,10.59,11.2,12.15,13.44,11.32,11.66,13.56,16.27
"2011-08-11 11:15:00",19380,0.144,0.112,0.121,11.75,10.98,10.68,11.21,12.15,13.43,11.64,11.86,13.55,17.11
"2011-08-11 11:30:00",19381,0.145,0.112,0.12,11.92,11.16,10.78,11.24,12.13,13.42,11.94,12.05,13.55,17.72
"2011-08-11 11:45:00",19382,0.145,0.112,0.12,12.13,11.33,10.89,11.27,12.11,13.41,12.17,12.22,13.56,18.23
"2011-08-11 12:00:00",19383,0.145,0.112,0.12,12.36,11.5,11.01,11.32,12.09,13.41,12.39,12.4,13.56,18.71
"2011-08-11 12:15:00",19384,0.145,0.112,0.12,12.59,11.68,11.11,11.35,12.07,13.4,12.61,12.57,13.56,19.18
"2011-08-11 12:30:00",19385,0.146,0.112,0.12,12.75,11.84,11.19,11.37,12.06,13.4,12.81,12.73,13.56,19.47
"2011-08-11 12:45:00",19386,0.146,0.112,0.12,12.87,12,11.3,11.43,12.06,13.39,12.98,12.86,13.56,19.47
"2011-08-11 13:00:00",19387,0.146,0.112,0.12,12.99,12.14,11.4,11.46,12.05,13.39,13.1,12.96,13.56,19.63
"2011-08-11 13:15:00",19388,0.146,0.112,0.12,13.23,12.26,11.51,11.52,12.05,13.39,13.23,13.08,13.56,20.05
"2011-08-11 13:30:00",19389,0.147,0.112,0.12,13.47,12.43,11.59,11.58,12.05,13.39,13.38,13.22,13.56,20.53
"2011-08-11 13:45:00",19390,0.147,0.112,0.12,13.67,12.6,11.69,11.6,12.05,13.4,13.54,13.35,13.56,21.37
"2011-08-11 14:00:00",19391,0.147,0.112,0.12,13.85,12.78,11.79,11.68,12.05,13.41,13.7,13.49,13.56,21.95
"2011-08-11 14:15:00",19392,0.147,0.112,0.12,13.94,12.92,11.91,11.72,12.05,13.4,13.83,13.62,13.56,22.28
