"TOA5","WTC11","CR1000","33275","CR1000.Std.19","CPU:WTCsensors_Ch11.CR1","30773","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2011-10-09 00:00:00",24999,0.098,0.105,0.116,17.39,17.37,17.41,17.41,16.53,15.78,18.32,17.9,13.56,17.39
"2011-10-09 00:15:00",25000,0.098,0.105,0.116,17.35,17.34,17.38,17.41,16.53,15.78,18.28,17.86,13.56,17.26
"2011-10-09 00:30:00",25001,0.098,0.105,0.116,17.29,17.31,17.37,17.41,16.54,15.78,18.24,17.82,13.56,17.11
"2011-10-09 00:45:00",25002,0.098,0.105,0.116,17.21,17.27,17.36,17.4,16.54,15.78,18.2,17.78,13.55,16.81
"2011-10-09 01:00:00",25003,0.098,0.105,0.116,17.1,17.2,17.33,17.4,16.53,15.79,18.15,17.73,13.55,16.49
"2011-10-09 01:15:00",25004,0.098,0.105,0.116,17.01,17.15,17.29,17.37,16.54,15.79,18.09,17.67,13.55,16.19
"2011-10-09 01:30:00",25005,0.098,0.105,0.116,16.92,17.03,17.26,17.36,16.54,15.79,18.03,17.61,13.55,16
"2011-10-09 01:45:00",25006,0.098,0.105,0.116,16.83,16.97,17.23,17.34,16.54,15.79,17.96,17.54,13.55,15.9
"2011-10-09 02:00:00",25007,0.097,0.105,0.117,16.77,16.9,17.22,17.32,16.53,15.8,17.9,17.48,13.55,15.85
"2011-10-09 02:15:00",25008,0.097,0.105,0.117,16.7,16.86,17.17,17.3,16.53,15.81,17.84,17.41,13.55,15.73
"2011-10-09 02:30:00",25009,0.097,0.105,0.117,16.62,16.79,17.14,17.28,16.53,15.82,17.78,17.36,13.56,15.58
"2011-10-09 02:45:00",25010,0.097,0.105,0.117,16.55,16.74,17.08,17.28,16.53,15.82,17.72,17.29,13.56,15.41
"2011-10-09 03:00:00",25011,0.097,0.105,0.117,16.47,16.67,17.03,17.28,16.52,15.83,17.66,17.23,13.56,15.31
"2011-10-09 03:15:00",25012,0.097,0.105,0.117,16.41,16.62,16.99,17.25,16.52,15.84,17.6,17.17,13.56,15.26
"2011-10-09 03:30:00",25013,0.097,0.105,0.117,16.35,16.55,16.96,17.22,16.52,15.84,17.54,17.11,13.56,15.21
"2011-10-09 03:45:00",25014,0.097,0.105,0.117,16.31,16.51,16.9,17.19,16.52,15.83,17.49,17.06,13.56,15.19
"2011-10-09 04:00:00",25015,0.097,0.105,0.117,16.25,16.44,16.86,17.17,16.52,15.83,17.44,17.01,13.56,15.12
"2011-10-09 04:15:00",25016,0.097,0.105,0.117,16.21,16.41,16.82,17.16,16.51,15.84,17.39,16.96,13.56,14.97
"2011-10-09 04:30:00",25017,0.097,0.106,0.117,16.13,16.35,16.78,17.12,16.51,15.84,17.34,16.91,13.56,14.85
"2011-10-09 04:45:00",25018,0.097,0.106,0.117,16.07,16.28,16.72,17.06,16.5,15.83,17.28,16.86,13.56,14.71
