TOA5	ROS_WS	CR3000	4909	CR3000.Std.11	CPU:weather_station_final.CR3	30238	Table05min							
TIMESTAMP	RECORD	PPFD_Avg	AirTC_Avg	RH	WS_ms_Avg	WS_ms_Max	WindDir	NetSW_Avg	NetLW_Avg	NetRad_Avg	LWmV_Avg	LWMDry_Tot	LWMCon_Tot	LWMWet_Tot
TS	RN	mV	Deg C	%	meters/second	meters/second	degrees	W/m^2	W/m^2	W/m^2	mV	Minutes	Minutes	Minutes
		Avg	Avg	Smp	Avg	Max	Smp	Avg	Avg	Avg	Avg	Tot	Tot	Tot
9/10/2011 0:00	91153	-0.05	13.98	95.9	0.864	1.027	23.84	-0.807	-2.517	-3.324	369	0	0	5
9/10/2011 0:05	91154	-0.042	13.95	95.9	0.641	0.787	19.95	-1.151	-3.08	-4.231	368.8	0	0	5
9/10/2011 0:10	91155	-0.033	13.9	95.9	0.201	0.361	25.93	-1.378	-3.032	-4.41	370.2	0	0	5
9/10/2011 0:15	91156	-0.033	13.84	95.9	0	0	16.4	-1.29	-2.886	-4.177	372.2	0	0	5
9/10/2011 0:20	91157	-0.042	13.77	95.9	0	0	48.67	-1.425	-3.271	-4.696	375.1	0	0	5
9/10/2011 0:25	91158	-0.075	13.64	95.9	0	0	49.4	-2.202	-3.852	-6.054	375.4	0	0	5
9/10/2011 0:30	91159	-0.05	13.52	95.9	0	0	49.12	-3.26	-4.27	-7.531	377.5	0	0	5
9/10/2011 0:35	91160	-0.017	13.39	95.9	0	0	2.862	-2.803	-3.68	-6.483	375.4	0	0	5
9/10/2011 0:40	91161	-0.033	13.16	95.9	0.583	0.761	60.52	-2.288	-2.783	-5.072	373.4	0	0	5
9/10/2011 0:45	91162	-0.025	12.97	95.9	0.257	0.601	55.43	-2.49	-2.808	-5.297	372.2	0	0	5
9/10/2011 0:50	91163	-0.042	12.77	95.9	0.621	0.92	51.68	-1.955	-2.626	-4.581	370.6	0	0	5
9/10/2011 0:55	91164	-0.05	12.59	96	0.638	0.974	58.92	-1.519	-2.526	-4.045	368.7	0	0	5
9/10/2011 1:00	91165	-0.025	12.65	96	0.511	1.346	57.6	-1.617	-2.862	-4.48	368.3	0	0	5
9/10/2011 1:05	91166	-0.058	12.61	96.1	0.302	1.133	57.59	-1.605	-3.374	-4.979	370	0	0	5
9/10/2011 1:10	91167	-0.067	12.51	96	0	0	66	-2.041	-3.644	-5.685	374.8	0	0	5
