TOA5	ROS_WS	CR3000	4909	CR3000.Std.11	CPU:weather_station_final.CR3	30238	Table2
TIMESTAMP	RECORD	BattV_Min	PTemp_C_Max				
TS	RN	Volts	Deg C				
		Min	Max				
6/10/2011 4:41	903457	13.05	10.66				
6/10/2011 4:41	903458	13.03	10.66				
6/10/2011 4:42	903459	13.05	10.66				
6/10/2011 4:42	903460	13.03	10.66				
6/10/2011 4:43	903461	13.05	10.66				
6/10/2011 4:43	903462	13.03	10.66				
6/10/2011 4:44	903463	13.05	10.66				
6/10/2011 4:44	903464	13.03	10.66				
6/10/2011 4:45	903465	13.05	10.66				
6/10/2011 4:45	903466	13.03	10.66				
6/10/2011 4:46	903467	13.05	10.66				
6/10/2011 4:46	903468	13.03	10.66				
6/10/2011 4:47	903469	13.05	10.66				
6/10/2011 4:47	903470	13.03	10.66				
6/10/2011 4:48	903471	13.05	10.66				
6/10/2011 4:48	903472	13.03	10.66				
6/10/2011 4:49	903473	13.05	10.66				
6/10/2011 4:49	903474	13.03	10.66				
6/10/2011 4:50	903475	13.05	10.66				
6/10/2011 4:50	903476	13.03	10.66				
6/10/2011 4:51	903477	13.05	10.66				
6/10/2011 4:51	903478	13.03	10.66				
6/10/2011 4:52	903479	13.05	10.66				
6/10/2011 4:52	903480	13.03	10.66				
6/10/2011 4:53	903481	13.05	10.67				
6/10/2011 4:53	903482	13.03	10.67				
6/10/2011 4:54	903483	13.05	10.67				
6/10/2011 4:54	903484	13.03	10.67				
6/10/2011 4:55	903485	13.05	10.67				
6/10/2011 4:55	903486	13.03	10.67				
6/10/2011 4:56	903487	13.05	10.67				
6/10/2011 4:56	903488	13.03	10.67				
6/10/2011 4:57	903489	13.05	10.67				
6/10/2011 4:57	903490	13.03	10.67				
6/10/2011 4:58	903491	13.05	10.67				
6/10/2011 4:58	903492	13.03	10.67				
6/10/2011 4:59	903493	13.04	10.68				
6/10/2011 4:59	903494	13.03	10.68				
6/10/2011 5:00	903495	13.04	10.68				
6/10/2011 5:00	903496	13.03	10.68				
